SA2 Code,SA2 Name,Region (SA3),LGA Code,LGA Name,Trent.Labour Force,Trend.Unemployment,Trend.Unemployment Rate (%),Trend.Jobseeker,Trend.Value of building job(s),Trend.Number of dwellings approved,Trend.Visitor Spend,Trend.Resident Spend,Trend.House Price (Current),Trend.House Rent (P/W),Trend.Unit Price (Current),Trend.Unit Rent (P/W),Trend. Airbnb ADR,Trend.Airbnb Gross Revenue,Trend.Homelessness,Trend.Total Businesses,Trend.Healthcare Businesses,Trend.Tourism Businesses,Trend.Manufacturing Businesses
122031432,Terrey Hills - Duffys Forest,Warringah,15990,Northern Beaches,Up,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
122031696,Frenchs Forest - Oxford Falls,Warringah,15990,Northern Beaches,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
106021614,East Maitland - Metford,Maitland,15050,Maitland,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
102011028,Avoca Beach - Copacabana,Gosford,11650,Central Coast (NSW),Up,Down,Down,Flat,Down,Up,Down,Up,Down,Flat,Up,Flat,Up,Up,Up,Down,Up,Down,Down
117031331,Glebe - Forest Lodge,Sydney Inner City,17200,Sydney,Down,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
111021215,Bolton Point - Teralba,Lake Macquarie - West,14650,Lake Macquarie,Down,Up,Up,Flat,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Up,Up,Up,Up
111031234,Waratah - North Lambton,Newcastle,15900,Newcastle,Down,Up,Up,Down,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Up,Flat,Down,Up
118021568,Maroubra - West,Eastern Suburbs - South,16550,Randwick,Up,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
117031648,Zetland,Sydney Inner City,17200,Sydney,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
121031408,Lindfield - Roseville,Ku-ring-gai,14500,Ku-ring-gai,Up,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Flat,Flat,Flat,Flat
104021086,Coramba - Nana Glen - Bucca,Coffs Harbour,11800,Coffs Harbour,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
102021056,Warnervale - Wadalba,Wyong,11650,Central Coast (NSW),Up,Down,Down,Up,Down,Flat,Up,Up,Up,Up,Flat,Flat,Flat,Flat,Down,Down,Up,Down,Down
117031639,Chippendale,Sydney Inner City,17200,Sydney,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
111031229,Newcastle - Cooks Hill,Newcastle,15900,Newcastle,Down,Up,Up,Down,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Up,Up,Down,Down
117021327,Petersham - Stanmore,Marrickville - Sydenham - Petersham,14170,Inner West,Down,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Flat,Flat,Flat,Flat
108051169,Taree,Taree - Gloucester,15240,Mid-Coast,Down,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
121031407,Gordon - Killara,Ku-ring-gai,14500,Ku-ring-gai,Up,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Flat,Flat,Flat,Flat
104021088,Korora - Emerald Beach,Coffs Harbour,11800,Coffs Harbour,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
118011342,Centennial Park,Eastern Suburbs - North,16550,Randwick,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
108011153,Forster-Tuncurry Surrounds,Great Lakes,15240,Mid-Coast,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
108011153,Forster-Tuncurry Region,Great Lakes,15240,Mid-Coast,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
108011154,Tuncurry,Great Lakes,15240,Mid-Coast,Down,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Flat,Flat,Flat,Flat
125041491,Northmead,Parramatta,16260,Parramatta,Up,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
111021218,Morisset - Cooranbong,Lake Macquarie - West,14650,Lake Macquarie,Down,Up,Up,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Up,Up,Up,Up
111011209,Glendale - Cardiff - Hillsboroug,Lake Macquarie - East,14650,Lake Macquarie,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
111011209,Glendale - Cardiff - Hillsborough,Lake Macquarie - East,14650,Lake Macquarie,Down,Up,Up,Flat,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Up,Up,Up,Down
118021565,Kingsford,Eastern Suburbs - South,16550,Randwick,Up,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Flat,Flat,Flat,Flat
120021675,Leichhardt,Leichhardt,14170,Inner West,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
111021220,Wangi Wangi - Rathmines,Lake Macquarie - West,14650,Lake Macquarie,Down,Up,Up,Flat,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Up,Down,Up,Down
121031411,Turramurra,Ku-ring-gai,14500,Ku-ring-gai,Up,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
102021054,Toukley - Norah Head,Wyong,11650,Central Coast (NSW),Up,Down,Down,Down,Up,Up,Up,Up,Up,Down,Down,Up,Down,Up,Down,Down,Up,Down,Up
122021690,Mona Vale - Warriewood (North),Pittwater,15990,Northern Beaches,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
125041489,North Parramatta,Parramatta,16260,Parramatta,Up,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Flat,Flat,Flat,Flat
125041494,Winston Hills,Parramatta,16260,Parramatta,Up,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
102011043,Wyoming,Gosford,11650,Central Coast (NSW),Up,Down,Down,Up,Up,Flat,Down,Up,Up,Flat,Down,Up,Flat,Flat,Down,Up,Down,Up,Down
108011152,Forster,Great Lakes,15240,Mid-Coast,Down,Flat,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
106031124,Tea Gardens - Hawks Nest,Port Stephens,15240,Mid-Coast,Up,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Down,Up,Up,Down
111031230,Newcastle Port - Kooragang,Newcastle,15900,Newcastle,Flat,Flat,Flat,Flat,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Flat,Flat,Down
118021653,Matraville - Chifley,Eastern Suburbs - South,16550,Randwick,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
102011042,Woy Woy - Blackwall,Gosford,11650,Central Coast (NSW),Up,Down,Down,Flat,Up,Up,Up,Down,Up,Up,Up,Up,Up,Up,Up,Up,Up,Up,Down
126011496,Pennant Hills - Cheltenham,Pennant Hills - Epping,14000,Hornsby,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
118021564,Kensington (NSW),Eastern Suburbs - South,16550,Randwick,Up,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
115011556,Castle Hill - South,Baulkham Hills,17420,The Hills,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
104021091,Woolgoolga - Arrawarra,Coffs Harbour,11800,Coffs Harbour,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
111011214,Warners Bay - Boolaroo,Lake Macquarie - East,14650,Lake Macquarie,Down,Up,Up,Up,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Up,Up,Up,Down
111021217,Edgeworth - Cameron Park,Lake Macquarie - West,14650,Lake Macquarie,Down,Up,Up,Up,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Up,Up,Up,Up
118021654,South Coogee,Eastern Suburbs - South,16550,Randwick,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
108051170,Taree Region,Taree - Gloucester,15240,Mid-Coast,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
108051170,Taree Surrounds,Taree - Gloucester,15240,Mid-Coast,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
115031300,Kurrajong Heights - Ebenezer,Hawkesbury,13800,Hawkesbury,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Flat,Flat,Flat,Flat
102011041,Wamberal - Forresters Beach,Gosford,11650,Central Coast (NSW),Up,Up,Flat,Flat,Up,Up,Up,Up,Up,Up,Up,Down,Down,Up,Down,Up,Up,Up,Up
121021579,Waitara - Wahroonga (West),Hornsby,14000,Hornsby,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
121021579,Wahroonga (West) - Waitara,Hornsby,14000,Hornsby,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
111011210,Mount Hutton - Windale,Lake Macquarie - East,14650,Lake Macquarie,Down,Up,Up,Up,Down,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Up,Up,Up,Up
106021116,Maitland - North,Maitland,15050,Maitland,Up,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Down,Up,Up,Down
106021618,Thornton - Millers Forest,Maitland,15050,Maitland,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
102011040,Umina - Booker Bay - Patonga,Gosford,11650,Central Coast (NSW),Up,Down,Down,Flat,Up,Flat,Down,Up,Up,Up,Down,Down,Up,Up,Down,Down,Up,Down,Up
102021050,Lake Munmorah - Mannering Park,Wyong,11650,Central Coast (NSW),Up,Down,Down,Down,Up,Up,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Down,Up,Up,Down,Down
106021615,Rutherford (North) - Aberglasslyn,Maitland,15050,Maitland,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
117021636,Marrickville - North,Marrickville - Sydenham - Petersham,14170,Inner West,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
124041467,Windsor - Bligh Park,Richmond - Windsor,13800,Hawkesbury,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
122031697,Narrabeen - Wheeler Heights,Warringah,15990,Northern Beaches,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
111031235,Wickham - Carrington - Tighes Hi,Newcastle,15900,Newcastle,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
111031235,Wickham - Carrington - Tighes Hill,Newcastle,15900,Newcastle,Down,Up,Up,Down,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Up,Up,Up,Down
115011296,West Pennant Hills,Baulkham Hills,17420,The Hills,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Flat,Flat,Flat,Flat
117031644,Sydney (North) - Millers Point,Sydney Inner City,17200,Sydney,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
102021049,Jilliby - Yarramalong,Wyong,11650,Central Coast (NSW),Up,Up,Up,Down,Up,Up,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Up,Up,Up,Down,Up
125021478,Oatlands - Dundas Valley,Carlingford,16260,Parramatta,Up,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Flat,Flat,Flat,Flat
111031223,Beresfield - Hexham,Newcastle,15900,Newcastle,Down,Up,Up,Flat,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Up,Up,Up,Down
121021403,Asquith - Mount Colah,Hornsby,14000,Hornsby,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
106021616,Rutherford (South) - Telarah,Maitland,15050,Maitland,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
102011032,Gosford - Springfield,Gosford,11650,Central Coast (NSW),Up,Down,Down,Down,Up,Up,Down,Up,Up,Down,Down,Up,Flat,Flat,Up,Up,Up,Up,Flat
115011291,Baulkham Hills (West) - Bella Vi,Baulkham Hills,17420,The Hills,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
115011291,Baulkham Hills (West) - Bella Vista,Baulkham Hills,17420,The Hills,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
102011033,Kariong,Gosford,11650,Central Coast (NSW),Up,Down,Down,Flat,Up,Up,Down,Up,Down,Down,Down,Flat,Flat,Flat,Down,Down,Up,Up,Flat
102011031,Erina - Green Point,Gosford,11650,Central Coast (NSW),Up,Down,Down,Down,Up,Up,Down,Up,Up,Down,Up,Up,Flat,Flat,Up,Down,Up,Down,Up
102011038,Saratoga - Davistown,Gosford,11650,Central Coast (NSW),Up,Down,Flat,Flat,Up,Flat,Up,Up,Down,Up,Down,Up,Flat,Flat,Up,Up,Up,Down,Flat
117031647,Waterloo,Sydney Inner City,17200,Sydney,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
117031329,Darlinghurst,Sydney Inner City,17200,Sydney,Down,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
104021084,Coffs Harbour - North,Coffs Harbour,11800,Coffs Harbour,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
121021578,Hornsby - West,Hornsby,14000,Hornsby,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
111031225,Lambton - New Lambton,Newcastle,15900,Newcastle,Down,Up,Up,Down,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Up,Up,Up,Up
108011151,Bulahdelah - Stroud,Great Lakes,15240,Mid-Coast,Down,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
111021221,West Wallsend - Barnsley - Killi,Lake Macquarie - West,14650,Lake Macquarie,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
111021221,West Wallsend - Barnsley - Killingworth,Lake Macquarie - West,14650,Lake Macquarie,Down,Up,Up,Up,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Up,Down,Down
102021045,Blue Haven - San Remo,Wyong,11650,Central Coast (NSW),Up,Down,Down,Down,Down,Flat,Down,Down,Up,Up,Flat,Up,Flat,Flat,Down,Down,Up,Up,Down
115011621,Kellyville - East,Baulkham Hills,17420,The Hills,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
102021044,Bateau Bay - Killarney Vale,Wyong,11650,Central Coast (NSW),Up,Down,Down,Down,Up,Flat,Up,Up,Down,Up,Up,Down,Up,Up,Up,Up,Up,Up,Down
102011030,Calga - Kulnura,Gosford,11650,Central Coast (NSW),Up,Down,Down,Up,Up,Up,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Up,Down,Up
111011208,Charlestown - Dudley,Lake Macquarie - East,14650,Lake Macquarie,Down,Up,Up,Down,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Up,Up,Down,Up
115011558,Cherrybrook,Baulkham Hills,14000,Hornsby,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
117031336,Surry Hills,Sydney Inner City,17200,Sydney,Down,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Flat,Flat,Flat,Flat
106031125,Williamtown - Medowie - Karuah,Port Stephens,16400,Port Stephens,Up,Down,Down,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Up,Up,Up,Up
111011209,Glendale - Cardiff - Hillsboroug,Lake Macquarie - East,14650,Lake Macquarie,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
111011209,Glendale - Cardiff - Hillsborough,Lake Macquarie - East,14650,Lake Macquarie,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
111011206,Belmont - Bennetts Green,Lake Macquarie - East,14650,Lake Macquarie,Down,Up,Up,Flat,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Up,Up,Down,Up
122031693,Collaroy - Collaroy Plateau,Warringah,15990,Northern Beaches,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat
122031425,Cromer,Warringah,15990,Northern Beaches,Up,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Flat,Flat,Flat,Flat
106031119,Anna Bay,Port Stephens,16400,Port Stephens,Up,Up,Flat,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Down,Up,Down,Flat
106031122,Raymond Terrace,Port Stephens,16400,Port Stephens,Up,Down,Down,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Down,Up,Up,Down,Down
102021051,Ourimbah - Fountaindale,Wyong,11650,Central Coast (NSW),Up,Down,Flat,Up,Down,Flat,Down,Up,Up,Up,Down,Up,Flat,Flat,Up,Down,Up,Down,Up
111031231,Shortland - Jesmond,Newcastle,15900,Newcastle,Down,Up,Up,Flat,Up,Up,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Up,Up,Up,Up,Flat
